05 Bush School,
MSC,4
Kleberg - OB,1
Reed Arena - OB,1
Ag Building - OB,1
TTI - OB,1
Bush School - OB,1
Centeq 1,1
Lot 108/UPD,1
Centeq 2,1
Lot 41/43,1
Bush School - IB,1
TTI - IB,1
Ag Building - IB,1
Reed Arena - IB,1
Kleberg - IB,2
MSC,
,
,
06 12th Man, 
Beutel,3
Wehner N,1
Vet School - OB,1
06 Transit - OB,1
Facilities Services - OB,1
GSC,1
Facilities Services - IB,1
06 Transit - IB,1
Lot 71,1
Vet School - IB,1
Wehner S,4
Beutel,
,
,
07 Airport,
Hotel/Joe Routt,6
Wisenbaker - East,10
Easterwood,6
Wind Tunnel,1
Turbo Lab,7
Hotel/Joe Routt,
,
,
08 Howdy,
Beutel,3
Kleberg - OB,1
Reed Arena - OB,1
Physical Education - OB,2
North West - Park West - OB,2
Olsen Field @ Blue Bell Park,1
Rec Center - IB,1
Kleberg - IB,4
Beutel,
,
,
